shipClass,country,type,extraShipType,armorTypeFactor,armorType,factorCompatibleArmorTypes,xmlFactorConsistency,maxActualInch,maxEffectInch,deckActualInch,turretHorizontalActualInch,superStructureHorizontalActualInch,conningTowerActualInch,mainBeltActualInch,beltEndActualInch,barbetteActualInch,turretVerticalActualInch,superStructureVerticalActualInch,deckEffectInch,turretHorizontalEffectInch,superStructureHorizontalEffectInch,conningTowerEffectInch,mainBeltEffectInch,beltEndEffectInch,barbetteEffectInch,turretVerticalEffectInch,superStructureVerticalEffectInch
Yoshino,Japan,LightCruiser,ProtectedCruiser,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,4.5,3.5,4.5,0.0,0.9,4.0,0.0,0.0,0.0,4.5,0.8,3.5,0.0,0.7,3.1,0.0,0.0,0.0,3.5,0.6
Yoshino (1901),Japan,LightCruiser,ProtectedCruiser,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,4.5,3.5,4.5,0.0,0.9,4.0,0.0,0.0,0.0,4.5,0.8,3.5,0.0,0.7,3.1,0.0,0.0,0.0,3.5,0.6
Akitsushima,Japan,LightCruiser,ProtectedCruiser,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,4.5,3.5,3.0,0.0,0.6,0.0,0.0,0.0,0.0,4.5,0.5,2.3,0.0,0.4,0.0,0.0,0.0,0.0,3.5,0.4
Akitsushima (1902),Japan,LightCruiser,NotSpecified,0.78,HarveyNickelSteel,HarveyNickelSteel,factor-consistent,4.5,3.5,3.0,0.0,0.6,0.0,0.0,0.0,0.0,4.5,0.5,2.3,0.0,0.5,0.0,0.0,0.0,0.0,3.5,0.4
Naniwa,Japan,LightCruiser,ProtectedCruiser,0.75,MildSteel,MildSteel,factor-consistent,10.0,7.5,3.0,0.0,1.1,2.0,0.0,0.0,10.0,1.5,1.5,2.3,0.0,0.8,1.5,0.0,0.0,7.5,1.1,1.1
Naniwa (1903),Japan,LightCruiser,NotSpecified,0.75,MildSteel,MildSteel,factor-consistent,10.0,7.5,3.0,0.0,1.1,2.0,0.0,0.0,10.0,1.5,1.5,2.3,0.0,0.8,1.5,0.0,0.0,7.5,1.1,1.1
Chi Yuan,China,LightCruiser,ProtectedCruiser,0.68,CompoundHardSteelFacedWroughtIron,CompoundHardSteelFacedWroughtIron,factor-consistent,14.0,9.5,4.0,0.0,1.4,1.5,0.0,0.0,14.0,1.5,1.9,2.7,0.0,1.0,1.0,0.0,0.0,9.5,1.0,1.3
Kuang Yi,China,PatrolGunboat,TorpedoCruiser,0.75,MildSteel,MildSteel,factor-consistent,2.0,1.5,1.0,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.1,1.5,0.0,0.0,0.0,0.0,0.1
Ting Yuen,China,Battleship,Ironclad,0.68,CompoundHardSteelFacedWroughtIron,CompoundHardSteelFacedWroughtIron,factor-consistent,14.0,9.5,3.0,1.0,2.5,8.0,14.0,0.0,14.0,1.0,4.2,2.0,0.7,1.7,5.4,9.5,0.0,9.5,0.7,2.8
Chin Yen (1896),Japan,Battleship,NotSpecified,0.75,MildSteel,MildSteel,factor-consistent,12.0,9.0,3.0,0.0,1.8,12.0,0.0,0.0,0.0,12.0,3.0,2.2,0.0,1.3,9.0,0.0,0.0,0.0,9.0,2.2
Chao Yung,China,LightCruiser,UnprotectedCruiser,0.75,MildSteel,MildSteel,factor-consistent,1.0,0.8,0.3,1.0,0.2,0.5,0.0,0.0,0.0,1.0,0.1,0.2,0.8,0.1,0.4,0.0,0.0,0.0,0.8,0.1
Chih Yuan,China,LightCruiser,ProtectedCruiser,0.75,MildSteel,MildSteel,factor-consistent,3.0,2.3,2.0,0.0,0.4,3.0,0.0,0.0,0.0,2.0,0.4,1.5,0.0,0.3,2.3,0.0,0.0,0.0,1.5,0.3
