battery_id,ship_name,ship_type,country,battery_name,observed_code,observed_left,latent_left,latent_minus_observed,rounded_latent,rounded_delta,internal_exact,internal_mae,internal_max_abs,range_yards,shell_size_inch,rate_of_fire,damage_rating,best_true_code,p_observed_code,p_best_true_code,observed_code_mu,best_code_mu,observed_code_z,best_code_z,log_likelihood_gain_best_vs_observed,is_reassigned_by_em,review_score
0,Yoshino,LightCruiser,Japan,15cm/45 EOC/VSM,X,9.0,8.920296469038096,-0.07970353096190408,9,0.0,0.95,0.05,1.0,12282.0,6.0,6.0,16.0,X,0.9714707375315856,0.9714707375315856,9.926065968774456,9.926065968774456,-1.0525694986849203,-1.0525694986849203,0.0,False,0.028529262468414363
1,Yoshino,LightCruiser,Japan,4.7''/40 QF Type 41,Z,7.0,7.145749736315042,0.14574973631504218,7,0.0,0.95,0.05,1.0,9899.0,4.7,6.0,12.0,Z,0.934294896060294,0.934294896060294,5.5645389445571,5.5645389445571,1.6547869574809255,1.6547869574809255,0.0,False,0.06570510393970597
2,Yoshino (1901),LightCruiser,Japan,15cm/45 EOC/VSM,X,11.0,10.730983930945522,-0.2690160690544783,11,0.0,0.9,0.1,1.0,12282.0,6.0,6.0,16.0,X,0.9876393099672832,0.9876393099672832,9.926065968774456,9.926065968774456,0.8423720307157552,0.8423720307157552,0.0,False,0.012360690032716781
3,Yoshino (1901),LightCruiser,Japan,4.7''/40 QF Type 41,Y,7.0,7.145749736315042,0.14574973631504218,7,0.0,0.95,0.05,1.0,9899.0,4.7,6.0,12.0,Y,0.9928094000740182,0.9928094000740182,7.835610940906682,7.835610940906682,-0.7219615055631892,-0.7219615055631892,0.0,False,0.007190599925981811
4,Akitsushima,LightCruiser,Japan,15cm/45 EOC/VSM,Y,9.0,8.920296469038096,-0.07970353096190408,9,0.0,0.95,0.05,1.0,12282.0,6.0,6.0,16.0,Y,0.9747643097643789,0.9747643097643789,7.835610940906682,7.835610940906682,1.135157611038457,1.135157611038457,0.0,False,0.02523569023562111
5,Akitsushima,LightCruiser,Japan,4.7''/40 QF Type 41,Z,7.0,7.145749736315042,0.14574973631504218,7,0.0,0.95,0.05,1.0,9899.0,4.7,6.0,12.0,Z,0.934294896060294,0.934294896060294,5.5645389445571,5.5645389445571,1.6547869574809255,1.6547869574809255,0.0,False,0.06570510393970597
6,Akitsushima (1902),LightCruiser,Japan,15cm/45 EOC/VSM,X,11.0,10.730983930945522,-0.2690160690544783,11,0.0,0.9,0.1,1.0,12282.0,6.0,6.0,16.0,X,0.9876393099672832,0.9876393099672832,9.926065968774456,9.926065968774456,0.8423720307157552,0.8423720307157552,0.0,False,0.012360690032716781
7,Akitsushima (1902),LightCruiser,Japan,4.7''/40 QF Type 41,Y,7.0,7.145749736315042,0.14574973631504218,7,0.0,0.95,0.05,1.0,9899.0,4.7,6.0,12.0,Y,0.9928094000740182,0.9928094000740182,7.835610940906682,7.835610940906682,-0.7219615055631892,-0.7219615055631892,0.0,False,0.007190599925981811
8,Naniwa,LightCruiser,Japan,26cm RKL/35 C/83,Y,9.0,8.852419938471993,-0.14758006152800718,9,0.0,0.925,0.075,1.0,8968.0,10.2,0.4,34.0,Y,0.9777974858728694,0.9777974858728694,7.835610940906682,7.835610940906682,1.064122681296441,1.064122681296441,0.0,False,0.02220251412713059
9,Naniwa,LightCruiser,Japan,15cm RKL/35 C/80,Z,6.0,5.450577076085739,-0.5494229239142614,5,-1.0,0.95,0.05,1.0,7869.0,5.9,5.0,17.0,Z,0.9989962184491642,0.9989962184491642,5.5645389445571,5.5645389445571,-0.11926468917335484,-0.11926468917335484,0.0,False,0.5010037815508358
10,Naniwa (1903),LightCruiser,Japan,15cm/40 EOC Z,S,12.0,11.965601513537752,-0.034398486462247746,12,0.0,0.975,0.025,1.0,11082.0,6.0,6.0,16.0,S,0.9973160995517909,0.9973160995517909,11.502780716832241,11.502780716832241,0.4843565589302232,0.4843565589302232,0.0,False,0.002683900448209098
11,Chi Yuan,LightCruiser,China,21cm RKL/22,Y,7.0,8.075453680126493,1.0754536801264933,8,1.0,0.7,0.3,1.0,6124.0,8.2,0.8,23.0,Y,0.9935408684418782,0.9935408684418782,7.835610940906682,7.835610940906682,0.2510029900986151,0.2510029900986151,0.0,False,0.5064591315581218
