ship_name,ship_type,country,battery_name,battery_family,code,code_rank,range_yards,log_range_yards,shell_size_inch,log_shell_size_inch,rate_of_fire,log_rate_of_fire,damage_rating,log_damage_rating,fire_control_positions,speed_threshold_knot,range_band,range_band_rank,aspect,aspect_narrow,fire_control_value,group_mean_fire_control_value,group_mean_residual,abs_group_mean_residual
Ting Yuen,Battleship,China,15cm RKL/35 C/80,15cm RKL/35 C/80,Y,1,7818.0,8.9641840463529,5.9,1.7749523509116738,4.0,1.3862943611198906,17.0,2.833213344056216,2.0,9.0,Short,0,Broad,0,3.0,7.563380281690141,-4.563380281690141,4.563380281690141
Matsushima,LightCruiser,Japan,32cm/38 M1887,32cm/38 M1887,Z,0,11390.0,9.340491056441229,12.6,2.533696813957432,0.3,-1.2039728043259361,42.0,3.7376696182833684,1.0,9.0,Short,0,Broad,0,9.0,5.902439024390244,3.097560975609756,3.097560975609756
Itsukushima,LightCruiser,Japan,32cm/38 M1887,32cm/38 M1887,Z,0,11390.0,9.340491056441229,12.6,2.533696813957432,0.3,-1.2039728043259361,42.0,3.7376696182833684,1.0,9.0,Short,0,Broad,0,9.0,5.902439024390244,3.097560975609756,3.097560975609756
Takao,LightCruiser,Japan,15cm RKL/25 C/75,15cm RKL/25 C/75,Z,0,6110.0,8.71768205216564,5.9,1.7749523509116738,4.5,1.5040773967762742,16.0,2.772588722239781,1.0,9.0,Short,0,Broad,0,9.0,5.902439024390244,3.097560975609756,3.097560975609756
Chao Yung,LightCruiser,China,4.75''/22 40-pdr 1.32-Ton BLR,4.75''/22 40-pdr 1.32-Ton BLR,Z,0,5198.0,8.556029215201436,4.8,1.5686159179138452,3.0,1.0986122886681098,12.0,2.4849066497880004,2.0,9.0,Short,0,Broad,0,3.0,5.902439024390244,-2.902439024390244,2.902439024390244
Chih Yuan,LightCruiser,China,15cm RKL/35 C/80,15cm RKL/35 C/80,Z,0,7818.0,8.9641840463529,5.9,1.7749523509116738,4.0,1.3862943611198906,17.0,2.833213344056216,1.0,9.0,Short,0,Broad,0,3.0,5.902439024390244,-2.902439024390244,2.902439024390244
Wei Yuen,PatrolGunboat,China,Armstrong 4.7'' Gun,Armstrong 4.7'' Gun,Z,0,8797.0,9.082166033252674,4.7,1.547562508716013,4.0,1.3862943611198906,13.0,2.5649493574615367,1.0,9.0,Short,0,Broad,0,3.0,5.902439024390244,-2.902439024390244,2.902439024390244
King Yuan,ArmoredCruiser,China,15cm RKL/35 C/80,15cm RKL/35 C/80,Z,0,7818.0,8.9641840463529,5.9,1.7749523509116738,4.0,1.3862943611198906,17.0,2.833213344056216,1.0,9.0,Short,0,Broad,0,3.0,5.902439024390244,-2.902439024390244,2.902439024390244
Kuang Chia,LightCruiser,China,12cm RKL/35 C/80,12cm RKL/35 C/80,Z,0,8797.0,9.082166033252674,4.7,1.547562508716013,4.0,1.3862943611198906,13.0,2.5649493574615367,1.0,9.0,Short,0,Broad,0,3.0,5.902439024390244,-2.902439024390244,2.902439024390244
Chi Yuan,LightCruiser,China,15cm RKL/35 C/80,15cm RKL/35 C/80,Z,0,7818.0,8.9641840463529,5.9,1.7749523509116738,4.0,1.3862943611198906,17.0,2.833213344056216,1.0,9.0,Short,0,Broad,0,3.0,5.902439024390244,-2.902439024390244,2.902439024390244
Ping Yuen,ArmoredCruiser,China,15cm RKL/35 C/80,15cm RKL/35 C/80,Z,0,7818.0,8.9641840463529,5.9,1.7749523509116738,4.0,1.3862943611198906,17.0,2.833213344056216,1.0,9.0,Short,0,Broad,0,3.0,5.902439024390244,-2.902439024390244,2.902439024390244
Wei Yuen,PatrolGunboat,China,Armstrong 7'' Gun,Armstrong 7'' Gun,Z,0,7818.0,8.9641840463529,7.0,1.9459101490553132,4.0,1.3862943611198906,20.0,2.995732273553991,1.0,9.0,Short,0,Broad,0,3.0,5.902439024390244,-2.902439024390244,2.902439024390244
Poltava,Battleship,Russia,152mm/45 M1892,152mm/45 M1892,W,3,12199.0,9.409109260148737,6.0,1.791759469228055,3.0,1.0986122886681098,16.0,2.772588722239781,2.0,9.0,Short,0,Broad,0,7.0,9.590909090909092,-2.5909090909090917,2.5909090909090917
Rossiya,ArmoredCruiser,Russia,203mm/45 M1892,203mm/45 M1892,Q,9,14199.0,9.560926818574357,8.0,2.0794415416798357,1.5,0.4054651081081644,22.0,3.091042453358316,2.0,9.0,Short,0,Broad,0,11.0,13.571428571428571,-2.571428571428571,2.571428571428571
Nisshin,ArmoredCruiser,Japan,20cm/45 No. 2 EOC,20cm/45  EOC,S,7,14505.0,9.582248696555505,8.0,2.0794415416798357,2.0,0.6931471805599453,24.0,3.1780538303479458,1.0,9.0,Short,0,Broad,0,9.0,11.4,-2.4000000000000004,2.4000000000000004
Kasuga,ArmoredCruiser,Japan,20cm/45 No. 2 EOC,20cm/45  EOC,S,7,14505.0,9.582248696555505,8.0,2.0794415416798357,2.0,0.6931471805599453,24.0,3.1780538303479458,1.0,9.0,Short,0,Broad,0,9.0,11.4,-2.4000000000000004,2.4000000000000004
Ting Yuen,Battleship,China,15cm RKL/35 C/80,15cm RKL/35 C/80,Y,1,7818.0,8.9641840463529,5.9,1.7749523509116738,4.0,1.3862943611198906,17.0,2.833213344056216,2.0,9.0,Medium,1,Broad,0,2.0,4.295774647887324,-2.295774647887324,2.295774647887324
Ting Yuen,Battleship,China,15cm RKL/35 C/80,15cm RKL/35 C/80,Y,1,7818.0,8.9641840463529,5.9,1.7749523509116738,4.0,1.3862943611198906,17.0,2.833213344056216,2.0,18.0,Medium,1,Broad,0,1.0,3.2816901408450705,-2.2816901408450705,2.2816901408450705
Ting Yuen,Battleship,China,15cm RKL/35 C/80,15cm RKL/35 C/80,Y,1,7818.0,8.9641840463529,5.9,1.7749523509116738,4.0,1.3862943611198906,17.0,2.833213344056216,2.0,27.0,Short,0,Broad,0,2.0,4.28169014084507,-2.28169014084507,2.28169014084507
Ting Yuen,Battleship,China,15cm RKL/35 C/80,15cm RKL/35 C/80,Y,1,7818.0,8.9641840463529,5.9,1.7749523509116738,4.0,1.3862943611198906,17.0,2.833213344056216,2.0,18.0,Short,0,Broad,0,3.0,5.28169014084507,-2.28169014084507,2.28169014084507
Ting Yuen,Battleship,China,15cm RKL/35 C/80,15cm RKL/35 C/80,Y,1,7818.0,8.9641840463529,5.9,1.7749523509116738,4.0,1.3862943611198906,17.0,2.833213344056216,2.0,9.0,Long,2,Broad,0,1.0,3.267605633802817,-2.267605633802817,2.267605633802817
Poltava,Battleship,Russia,152mm/45 M1892,152mm/45 M1892,W,3,12199.0,9.409109260148737,6.0,1.791759469228055,3.0,1.0986122886681098,16.0,2.772588722239781,2.0,9.0,Medium,1,Broad,0,4.0,6.090909090909091,-2.090909090909091,2.090909090909091
Ting Yuen,Battleship,China,15cm RKL/35 C/80,15cm RKL/35 C/80,Y,1,7818.0,8.9641840463529,5.9,1.7749523509116738,4.0,1.3862943611198906,17.0,2.833213344056216,2.0,9.0,Medium,1,Narrow,1,1.0,2.971830985915493,-1.971830985915493,1.971830985915493
Blanco Encalada,LightCruiser,China,"6''/40 Patterns W,Z","6''/40 Patterns W,Z",T,6,10995.0,9.305195902988862,6.0,1.791759469228055,6.0,1.791759469228055,16.0,2.772588722239781,2.0,18.0,Short,0,Broad,0,5.0,6.842105263157895,-1.8421052631578947,1.8421052631578947
Edgar,LightCruiser,Britain,"6''/40 QF Mk I,II,III","6''/40 QF ,II,III",T,6,11413.0,9.3425083355536,6.0,1.791759469228055,6.0,1.791759469228055,16.0,2.772588722239781,2.0,9.0,Short,0,Broad,0,8.0,9.789473684210526,-1.7894736842105257,1.7894736842105257
